t0=0.0,x0=0.1,vx0=0.0,y0=0.0,vy0=0.1
t,x,vx,y,vy
0.186000,0.112949,0.097230,0.009679,-0.028777
0.187000,0.113046,0.096941,0.009651,-0.029745
0.188000,0.113143,0.096642,0.009621,-0.030709
0.189000,0.113240,0.096333,0.009590,-0.031671
0.190000,0.113336,0.096015,0.009559,-0.032629
0.191000,0.113432,0.095687,0.009526,-0.033585
0.192000,0.113528,0.095349,0.009492,-0.034537
0.193000,0.113623,0.095002,0.009458,-0.035485
0.194000,0.113718,0.094646,0.009422,-0.036431
0.195000,0.113813,0.094280,0.009386,-0.037372
0.196000,0.113907,0.093904,0.009348,-0.038310
0.197000,0.114001,0.093519,0.009310,-0.039245
0.198000,0.114095,0.093125,0.009271,-0.040175
0.199000,0.114188,0.092721,0.009231,-0.041102
